instance_id,n_equivalence,equivalence_1,equivalence_3,equivalence_5,equivalence_10,sols_found,inf_time,runtime
0,17,17,17,17,17,0,342.9758548670013,708.55
1,15,15,16,16,18,0,342.9758548670013,708.55
2,17,17,18,18,18,0,342.9758548670013,708.55
3,18,18,18,18,19,0,342.9758548670013,708.55
4,16,18,19,19,19,0,342.9758548670013,708.55
5,15,18,19,19,19,0,342.9758548670013,708.55
6,18,19,19,19,19,0,342.9758548670013,708.55
7,16,18,19,19,19,0,342.9758548670013,708.55
8,19,19,19,19,19,0,342.9758548670013,708.55
9,18,19,19,19,19,0,342.9758548670013,708.55
10,18,18,19,19,19,0,342.9758548670013,708.55
11,16,17,18,19,19,0,342.9758548670013,708.55
12,18,18,19,19,19,0,342.9758548670013,708.55
13,16,17,18,18,19,0,342.9758548670013,708.55
14,18,19,19,19,19,0,342.9758548670013,708.55
15,17,18,18,19,19,0,342.9758548670013,708.55
16,18,18,19,19,19,0,342.9758548670013,708.55
17,16,18,19,19,19,0,342.9758548670013,708.55
18,19,19,19,19,19,0,342.9758548670013,708.55
19,19,19,19,19,19,0,342.9758548670013,708.55
20,17,17,18,18,18,0,342.9758548670013,708.55
21,18,18,18,19,19,0,342.9758548670013,708.55
22,19,19,19,19,19,0,342.9758548670013,708.55
23,17,17,18,18,19,0,342.9758548670013,708.55
24,17,17,18,18,18,0,342.9758548670013,708.55
25,19,19,19,19,19,0,342.9758548670013,708.55
26,18,18,18,18,19,0,342.9758548670013,708.55
27,18,18,18,19,19,0,342.9758548670013,708.55
28,18,18,18,18,18,0,342.9758548670013,708.55
29,16,17,18,18,18,0,342.9758548670013,708.55
30,18,18,18,19,19,0,342.9758548670013,708.55
31,18,18,18,18,19,0,342.9758548670013,708.55
32,19,19,19,19,19,0,342.9758548670013,708.55
33,17,17,18,18,19,0,342.9758548670013,708.55
34,17,17,19,19,19,0,342.9758548670013,708.55
35,18,18,19,19,19,0,342.9758548670013,708.55
36,18,19,19,19,19,0,342.9758548670013,708.55
37,17,19,19,19,19,0,342.9758548670013,708.55
38,17,17,19,19,19,0,342.9758548670013,708.55
39,16,18,19,19,19,0,342.9758548670013,708.55
40,18,18,19,19,19,0,342.9758548670013,708.55
41,17,17,18,19,19,0,342.9758548670013,708.55
42,18,18,18,18,18,0,342.9758548670013,708.55
43,18,18,19,19,19,0,342.9758548670013,708.55
44,17,17,18,19,19,0,342.9758548670013,708.55
45,18,18,19,19,19,0,342.9758548670013,708.55
46,19,19,19,19,19,0,342.9758548670013,708.55
47,18,19,19,19,19,0,342.9758548670013,708.55
48,18,18,18,19,19,0,342.9758548670013,708.55
49,17,17,17,17,19,0,342.9758548670013,708.55
50,18,18,18,19,19,0,342.9758548670013,708.55
51,17,18,19,19,19,0,342.9758548670013,708.55
52,18,18,18,18,19,0,342.9758548670013,708.55
53,19,19,19,19,19,0,342.9758548670013,708.55
54,18,18,18,19,19,0,342.9758548670013,708.55
55,17,18,18,19,19,0,342.9758548670013,708.55
56,17,17,17,17,18,0,342.9758548670013,708.55
57,16,16,16,18,18,0,342.9758548670013,708.55
58,16,16,17,18,19,0,342.9758548670013,708.55
59,17,19,19,19,19,0,342.9758548670013,708.55
60,19,19,19,19,19,0,342.9758548670013,708.55
61,19,19,19,19,19,0,342.9758548670013,708.55
62,18,18,18,19,19,0,342.9758548670013,708.55
63,17,17,18,18,18,0,342.9758548670013,708.55
64,17,17,19,19,19,0,342.9758548670013,708.55
65,18,18,18,18,19,0,342.9758548670013,708.55
66,16,17,17,18,19,0,342.9758548670013,708.55
67,17,18,19,19,19,0,342.9758548670013,708.55
68,17,18,19,19,19,0,342.9758548670013,708.55
69,17,17,18,19,19,0,342.9758548670013,708.55
70,19,19,19,19,19,0,342.9758548670013,708.55
71,16,18,18,19,19,0,342.9758548670013,708.55
72,19,19,19,19,19,0,342.9758548670013,708.55
73,19,19,19,19,19,0,342.9758548670013,708.55
74,18,18,19,19,19,0,342.9758548670013,708.55
75,18,19,19,19,19,0,342.9758548670013,708.55
76,18,19,19,19,19,0,342.9758548670013,708.55
77,19,19,19,19,19,0,342.9758548670013,708.55
78,18,19,19,19,19,0,342.9758548670013,708.55
79,19,19,19,19,19,0,342.9758548670013,708.55
80,18,18,18,19,19,0,342.9758548670013,708.55
81,17,18,18,19,19,0,342.9758548670013,708.55
82,18,18,18,19,19,0,342.9758548670013,708.55
83,16,17,19,19,19,0,342.9758548670013,708.55
84,19,19,19,19,19,0,342.9758548670013,708.55
85,18,18,19,19,19,0,342.9758548670013,708.55
86,19,19,19,19,19,0,342.9758548670013,708.55
87,19,19,19,19,19,0,342.9758548670013,708.55
88,16,18,19,19,19,0,342.9758548670013,708.55
89,15,16,18,19,19,0,342.9758548670013,708.55
90,19,19,19,19,19,0,342.9758548670013,708.55
91,18,18,18,18,19,0,342.9758548670013,708.55
92,17,17,17,18,19,0,342.9758548670013,708.55
93,18,19,19,19,19,0,342.9758548670013,708.55
94,16,18,18,18,19,0,342.9758548670013,708.55
95,17,19,19,19,19,0,342.9758548670013,708.55
96,18,18,18,19,19,0,342.9758548670013,708.55
97,16,18,18,19,19,0,342.9758548670013,708.55
98,19,19,19,19,19,0,342.9758548670013,708.55
99,19,19,19,19,19,0,342.9758548670013,708.55
100,17,17,18,18,18,0,342.9758548670013,708.55
101,17,18,18,19,19,0,342.9758548670013,708.55
102,19,19,19,19,19,0,342.9758548670013,708.55
103,17,18,19,19,19,0,342.9758548670013,708.55
104,17,17,19,19,19,0,342.9758548670013,708.55
105,19,19,19,19,19,0,342.9758548670013,708.55
106,18,19,19,19,19,0,342.9758548670013,708.55
107,18,18,19,19,19,0,342.9758548670013,708.55
108,18,18,19,19,19,0,342.9758548670013,708.55
109,18,18,19,19,19,0,342.9758548670013,708.55
110,17,18,19,19,19,0,342.9758548670013,708.55
111,18,19,19,19,19,0,342.9758548670013,708.55
112,18,18,19,19,19,0,342.9758548670013,708.55
113,18,18,18,18,19,0,342.9758548670013,708.55
114,16,18,19,19,19,0,342.9758548670013,708.55
115,17,18,19,19,19,0,342.9758548670013,708.55
116,19,19,19,19,19,0,342.9758548670013,708.55
117,18,19,19,19,19,0,342.9758548670013,708.55
118,19,19,19,19,19,0,342.9758548670013,708.55
119,18,19,19,19,19,0,342.9758548670013,708.55
120,19,19,19,19,19,0,342.9758548670013,708.55
121,19,19,19,19,19,0,342.9758548670013,708.55
122,18,19,19,19,19,0,342.9758548670013,708.55
123,19,19,19,19,19,0,342.9758548670013,708.55
124,17,19,19,19,19,0,342.9758548670013,708.55
125,16,18,18,18,19,0,342.9758548670013,708.55
126,16,19,19,19,19,0,342.9758548670013,708.55
127,17,19,19,19,19,0,342.9758548670013,708.55
128,18,18,19,19,19,0,342.9758548670013,708.55
129,18,19,19,19,19,0,342.9758548670013,708.55
130,19,19,19,19,19,0,342.9758548670013,708.55
131,16,17,18,19,19,0,342.9758548670013,708.55
132,17,18,18,18,18,0,342.9758548670013,708.55
133,17,17,17,19,19,0,342.9758548670013,708.55
134,18,18,19,19,19,0,342.9758548670013,708.55
135,19,19,19,19,19,0,342.9758548670013,708.55
136,18,19,19,19,19,0,342.9758548670013,708.55
137,17,17,18,18,19,0,342.9758548670013,708.55
138,19,19,19,19,19,0,342.9758548670013,708.55
139,18,18,19,19,19,0,342.9758548670013,708.55
140,19,19,19,19,19,0,342.9758548670013,708.55
141,19,19,19,19,19,0,342.9758548670013,708.55
142,16,17,18,19,19,0,342.9758548670013,708.55
143,19,19,19,19,19,0,342.9758548670013,708.55
144,19,19,19,19,19,0,342.9758548670013,708.55
145,17,18,19,19,19,0,342.9758548670013,708.55
146,19,19,19,19,19,0,342.9758548670013,708.55
147,17,17,18,18,18,0,342.9758548670013,708.55
148,19,19,19,19,19,0,342.9758548670013,708.55
149,18,18,18,19,19,0,342.9758548670013,708.55
150,18,18,19,19,19,0,342.9758548670013,708.55
151,18,19,19,19,19,0,342.9758548670013,708.55
152,19,19,19,19,19,0,342.9758548670013,708.55
153,18,18,18,18,18,0,342.9758548670013,708.55
154,17,18,18,18,19,0,342.9758548670013,708.55
